model,model_ru,feature,feature_ru,block,block_ru,importance_mean,importance_std,feature_set,validation,n_repeats,n_train,n_test,logreg_coef,logreg_abs_coef,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr,rank_strict,rank_in_model,importance_positive
logreg,Логистическая регрессия,spec_shape__sef95_hz__central,Интегральные спектральные характеристики · SEF95 hz · центральная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.07940200688188813,0.07940200688188813,0.7241847826086956,-0.9033915499490599,0.9033915499490599,4.677776704143436e-06,56,56,0.0
logreg,Логистическая регрессия,conn__n_hubs__coh_delta,Функциональная связность · n hubs · coherence δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.07394469227062889,0.07394469227062889,0.7225241545893719,-0.9643291397142586,0.9643291397142586,8.246249087315795e-08,57,57,0.0
logreg,Логистическая регрессия,conn__hub_z_max__pdc_alpha,Функциональная связность · максимальный hub z-score · PDC α,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.10860776929675924,0.10860776929675924,0.7178442028985508,-0.7888993830744875,0.7888993830744875,9.108969507995556e-06,58,58,0.0
logreg,Логистическая регрессия,alpha_peak__alpha_peak_db__parietal,"Параметры альфа-ритма · выраженность альфа-пика, дБ · теменная область",alpha_peak,Параметры альфа-ритма,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.15382277115495663,0.15382277115495663,0.7140700483091786,0.7342473181696393,0.7342473181696393,1.3475427860974302e-05,59,59,0.0
logreg,Логистическая регрессия,dfa__dfa_exp__central_alpha,Долговременные корреляции · dfa exp · центральная область α,dfa,Долговременные корреляции,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.14549348742461715,0.14549348742461715,0.712409420289855,0.8017442787829143,0.8017442787829143,1.58282191410198e-05,60,60,0.0
logreg,Логистическая регрессия,conn__hub_z_max__plv_theta,Функциональная связность · максимальный hub z-score · PLV θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.17422776009884963,0.17422776009884963,0.7118055555555556,-0.8200868154459982,0.8200868154459982,1.6335123789945015e-05,61,61,0.0
logreg,Логистическая регрессия,conn__global_efficiency__plv_delta,Функциональная связность · глобальная эффективность · PLV δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.10917560025712529,0.10917560025712529,0.7118055555555556,-0.7588676551431861,0.7588676551431861,1.6335123789945015e-05,62,62,0.0
logreg,Логистическая регрессия,conn__clustering__plv_alpha,Функциональная связность · кластеризация · PLV α,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.06020277743273996,0.06020277743273996,0.7089371980676329,-0.7625490190397487,0.7625490190397487,2.1429017980673443e-05,63,63,0.0
logreg,Логистическая регрессия,conn__clustering__coh_beta,Функциональная связность · кластеризация · coherence β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.12682343445523195,0.12682343445523195,0.7081823671497585,-0.6260046939048262,0.6260046939048262,2.2837208517802385e-05,64,64,0.0
logreg,Логистическая регрессия,conn__global_efficiency__pdc_theta,Функциональная связность · глобальная эффективность · PDC θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.08743111417978383,0.08743111417978383,0.7066727053140096,-0.7381213535840112,0.7381213535840112,2.6327541888808928e-05,65,65,0.0
logreg,Логистическая регрессия,burst__rate_per_min__parietal_beta,Ритмические эпизоды · rate per min · теменная область β,burst,Ритмические эпизоды,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.12762461086262356,0.12762461086262356,0.7048611111111113,0.7469014001846134,0.7469014001846134,3.1253873136849714e-05,66,66,0.0
logreg,Логистическая регрессия,conn__clustering__pdc_theta,Функциональная связность · кластеризация · PDC θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.05912508616752807,0.05912508616752807,0.7032004830917875,0.7278333162608164,0.7278333162608164,3.656297826240317e-05,67,67,0.0
logreg,Логистическая регрессия,conn__clustering__pdc_delta,Функциональная связность · кластеризация · PDC δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.12267092921926137,0.12267092921926137,0.7027475845410629,0.731526152725907,0.731526152725907,3.774131472445813e-05,68,68,0.0
logreg,Логистическая регрессия,conn__hub_z_max__pdc_beta,Функциональная связность · максимальный hub z-score · PDC β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.24335516892942397,0.24335516892942397,0.7004830917874396,-0.759152883308247,0.759152883308247,4.6830427518196595e-05,69,69,0.0
logreg,Логистическая регрессия,conn__n_hubs__plv_beta,Функциональная связность · n hubs · PLV β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.12218214999741166,0.12218214999741166,0.7003321256038647,-0.7873692003314003,0.7873692003314003,7.0849336275301865e-06,70,70,0.0
