feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
alpha_peak__alpha_peak_db__frontal,Альфа-пик · Альфа-пик db · frontal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6601751207729469,0.5681417948736062,0.5681417948736062,0.0013331720816888327
alpha_peak__alpha_peak_db__occipital,Альфа-пик · Альфа-пик db · occipital,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6953502415458938,0.6848100466600096,0.6848100466600096,7.32437509495424e-05
alpha_peak__alpha_peak_db__parietal,Альфа-пик · Альфа-пик db · parietal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7140700483091786,0.7342473181696393,0.7342473181696393,1.3520196724299796e-05
alpha_peak__alpha_peak_db__temporal,Альфа-пик · Альфа-пик db · temporal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6870471014492754,0.6155726230900066,0.6155726230900066,0.00015153944801452024
alpha_peak__paf_hz__central,Альфа-пик · paf hz · central,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.573822463768116,-0.42146700720865066,0.42146700720865066,0.028911673622858135
alpha_peak__paf_hz__frontal,Альфа-пик · paf hz · frontal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5275513285024155,-0.25429015425530666,0.25429015425530666,0.24797105267090194
alpha_peak__paf_hz__occipital,Альфа-пик · paf hz · occipital,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5396286231884058,-0.18477762994647956,0.18477762994647956,0.2802317842952908
alpha_peak__paf_hz__parietal,Альфа-пик · paf hz · parietal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5738979468599034,-0.36030345579567213,0.36030345579567213,0.05268846418706191
alpha_peak__paf_hz__temporal,Альфа-пик · paf hz · temporal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5960899758454106,-0.5514967582116671,0.5514967582116671,0.0025278990346984647
aper__alpha_peak_amp_log10__central,Апериодика · Альфа-пик amp log10 · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5843900966183575,0.2510373755315487,0.2510373755315487,0.11343131753523193
aper__alpha_peak_amp_log10__frontal,Апериодика · Альфа-пик amp log10 · frontal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5523852657004831,0.14591548126515036,0.14591548126515036,0.35008303104166155
aper__alpha_peak_amp_log10__occipital,Апериодика · Альфа-пик amp log10 · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5368357487922705,0.11352259277635453,0.11352259277635453,0.5281962813804074
aper__alpha_peak_amp_log10__parietal,Апериодика · Альфа-пик amp log10 · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5561594202898551,0.20829257033519058,0.20829257033519058,0.31249737151915213
aper__alpha_peak_amp_log10__temporal,Апериодика · Альфа-пик amp log10 · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5469504830917875,0.10364607639812244,0.10364607639812244,0.41480910534210136
aper__alpha_peak_cf_hz__central,Апериодика · Альфа-пик cf hz · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5193236714975845,0.026459043472255354,0.026459043472255354,0.7527703665468083
aper__alpha_peak_cf_hz__frontal,Апериодика · Альфа-пик cf hz · frontal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6410024154589373,0.41239588356601803,0.41239588356601803,0.005229265763985143
aper__alpha_peak_cf_hz__occipital,Апериодика · Альфа-пик cf hz · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5166817632850241,-0.05064804875817783,0.05064804875817783,0.7823512111096911
aper__alpha_peak_cf_hz__parietal,Апериодика · Альфа-пик cf hz · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.508756038647343,-0.06633165717813919,0.06633165717813919,0.8961953361020895
aper__alpha_peak_cf_hz__temporal,Апериодика · Альфа-пик cf hz · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5710295893719807,0.19156477833686425,0.19156477833686425,0.18908878681222982
aper__alpha_peak_width_hz__central,Апериодика · Альфа-пик width hz · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5241545893719808,0.048062348816905597,0.048062348816905597,0.6903752233012218
aper__alpha_peak_width_hz__frontal,Апериодика · Альфа-пик width hz · frontal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5448369565217392,0.09874541398928398,0.09874541398928398,0.43883982359967105
aper__alpha_peak_width_hz__occipital,Апериодика · Альфа-пик width hz · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.516832729468599,-0.009266030891670706,0.009266030891670706,0.7823512111096911
aper__alpha_peak_width_hz__parietal,Апериодика · Альфа-пик width hz · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5015851449275363,0.035411265598256615,0.035411265598256615,0.9781268807447249
aper__alpha_peak_width_hz__temporal,Апериодика · Альфа-пик width hz · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.507397342995169,0.06099722445468159,0.06099722445468159,0.9133038647402824
aper__aperiodic_exponent__central,Апериодика · Апериодикаiodic exponent · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7339975845410628,0.9095961341514031,0.9095961341514031,1.7455409926346669e-06
aper__aperiodic_exponent__occipital,Апериодика · Апериодикаiodic exponent · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6559480676328503,0.5979646438812802,0.5979646438812802,0.00179316988308211
aper__aperiodic_exponent__parietal,Апериодика · Апериодикаiodic exponent · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7673611111111112,0.9890745135324296,0.9890745135324296,4.478625569066696e-08
