band,channel,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,p_value,n_tbi,n_control,q_fdr
delta,F2,0.2510041805143021,0.27773250376235814,-0.02672832324805602,-0.2861656562357956,0.13812850764637405,92,72,0.2762570152927481
delta,F3,0.2553478062786431,0.27022932071095784,-0.014881514432314724,-0.1590661949944525,0.523570694209512,92,72,0.6123571604592012
delta,F4,0.24962955498632833,0.26326690183510215,-0.013637346848773824,-0.15496210840719415,0.5107103284734905,92,72,0.6123571604592012
delta,F5,0.2811219407774931,0.28550535197128,-0.004383411193786935,-0.044728665228323784,0.7922236645543499,92,72,0.8231633613167323
delta,F6,0.2882963391781738,0.27533596420556744,0.012960374972606381,0.13393106934293925,0.47724026792902674,92,72,0.6017377291279032
delta,F7,0.3288983994425977,0.3180123148471162,0.010886084595481516,0.11062769438712512,0.5278941038441389,92,72,0.6123571604592012
delta,F8,0.33464243810948247,0.31768151629515295,0.01696092181432951,0.17371338356200458,0.3807996815299245,92,72,0.5136367797380377
delta,FC1,0.26231844164592955,0.2669623125483198,-0.004643870902390268,-0.0484599776857662,0.8230202933156047,92,72,0.8374592458299136
delta,FC2,0.2540587510329969,0.2641280726766374,-0.010069321643640494,-0.10902555150492516,0.5608891822070633,92,72,0.6378739719217583
delta,FC3,0.24719094239265776,0.2358483963331438,0.011342546059513958,0.12989170084008655,0.44303518634445405,92,72,0.5710231290661852
delta,FC4,0.23976515907515203,0.22495689237019334,0.014808266704958689,0.17959769605063275,0.3772088095669882,92,72,0.5136367797380377
delta,FC5,0.27718098336243996,0.24338233730487208,0.03379864605756788,0.381834378055956,0.0473521662094064,92,72,0.13732128200727856
delta,FC6,0.28100802477812326,0.23817616302690897,0.042831861751214284,0.4732119043039704,0.01681635216703293,92,72,0.07502680197599307
delta,FT7,0.33278503078521904,0.2910301131830128,0.04175491760220623,0.42791624568365555,0.022527584366367367,92,72,0.0816624933280817
delta,FT8,0.33630130095626526,0.2852456976504565,0.05105560330580877,0.5382556763034768,0.001545187648139926,92,72,0.04481044179605786
delta,Fp1,0.2662732462814443,0.2935849764505892,-0.0273117301691449,-0.25333748866342676,0.10695685432593059,92,72,0.23859605965015285
delta,Fp2,0.26370949956669804,0.2962275074581207,-0.03251800789142267,-0.29560565046075077,0.04342642214471999,92,72,0.13256486759967157
delta,Fz,0.25228377874822616,0.2834761810259717,-0.031192402277745557,-0.32795766904090184,0.06714307322283887,92,72,0.16931731508368061
delta,O1,0.20401167238470452,0.2386875687150167,-0.03467589633031218,-0.37891548267274683,0.01067809002590669,92,72,0.056302656500235276
delta,O2,0.21607608582842766,0.2417598400642752,-0.02568375423584754,-0.2812987493261955,0.06095926733260971,92,72,0.16071079569506197
delta,Oz,0.22903172588110432,0.2632552597858312,-0.03422353390472688,-0.35696690829529226,0.01636646823447464,92,72,0.07502680197599307
delta,P1,0.21898309137037755,0.261999135689818,-0.04301604431944042,-0.4165742063546074,0.0047314772916478036,92,72,0.04759100293447248
delta,P2,0.2268350286339188,0.257729527230649,-0.030894498596730213,-0.3022560598566775,0.03851907239399064,92,72,0.12411701104730317
delta,P3,0.1928141143151711,0.22999283180416244,-0.03717871748899135,-0.4108269377011842,0.007384810800176765,92,72,0.04759100293447248
delta,P4,0.19838745381659273,0.23218610949790086,-0.03379865568130813,-0.36399166514020975,0.01839531039154415,92,72,0.0762091430506829
delta,P5,0.1913321569438185,0.21138880098094692,-0.020056644037128424,-0.2428706101977735,0.13206948396849455,92,72,0.27357250250616727
delta,P6,0.19523233138383067,0.21328279183935045,-0.01805046045551978,-0.20333182015630832,0.21098898590192205,92,72,0.3418787861070029
delta,P7,0.21995695425506867,0.20542433861473722,0.014532615640331453,0.17264875158192383,0.1844883804118237,92,72,0.31847124502178675
delta,P8,0.20694485337121532,0.20322113979950782,0.0037237135717075043,0.04198615608384663,0.9696036595364972,92,72,0.9696036595364972
delta,PO3,0.20175293985130882,0.23775358557435755,-0.03600064572304873,-0.383027374124128,0.010377169418063657,92,72,0.056302656500235276
delta,PO4,0.2016382376662433,0.24148680726699195,-0.039848569600748646,-0.4197061141140008,0.0067527908556974815,92,72,0.04759100293447248
delta,PO7,0.1965124445043054,0.2137351528950756,-0.017222708390770197,-0.19963373860583838,0.13206948396849455,92,72,0.27357250250616727
delta,PO8,0.20061288714920208,0.21368294980077226,-0.01307006265157018,-0.14760985126457865,0.2807892684074048,92,72,0.40714443919073695
delta,POz,0.21503432518538615,0.2653064159503234,-0.050272090764937244,-0.48230693468040436,0.0013623608330030478,92,72,0.04481044179605786
delta,Pz,0.23259386067033389,0.2789380506024254,-0.046344189932091495,-0.42417722667019564,0.0067527908556974815,92,72,0.04759100293447248
delta,T7,0.29964776941776117,0.2545866661903816,0.04506110322737955,0.4867400953037126,0.004400001500303295,92,72,0.04759100293447248
delta,T8,0.29272637334343954,0.25393996686368325,0.038786406479756286,0.4133202376783856,0.019750439852274655,92,72,0.07636836742879533
delta,TP7,0.2488075599711704,0.23369680923584074,0.015110750735329664,0.1755939691611693,0.21220062585951904,92,72,0.3418787861070029
delta,TP8,0.2515548133329367,0.21687703265696112,0.0346777806759756,0.3630159331522226,0.031387451328515274,92,72,0.1070865986502286
gamma,AF3,0.05566227969661696,0.07912446633621355,-0.023462186639596587,-0.5145979333321264,0.0001287891644913498,92,72,0.00028729890540378034
gamma,AF4,0.06284422401040121,0.08170465714617829,-0.01886043313577708,-0.38318028218080324,0.0019365785649618208,92,72,0.00249603459483968
gamma,AF7,0.06088947266642111,0.08588199470219633,-0.02499252203577522,-0.4941991046358532,6.046064179542501e-05,92,72,0.00015939623746066595
gamma,AF8,0.06567096126429826,0.09113022214872653,-0.025459260884428264,-0.45813601684781097,1.4527726777210344e-05,92,72,9.362312811979999e-05
gamma,C1,0.03723522583197543,0.04776730639260069,-0.01053208056062526,-0.4362070368765844,0.0018516834476640172,92,72,0.002440855453738932
gamma,C2,0.03935933148470701,0.04879783083523813,-0.009438499350531121,-0.35979263924686017,0.01277057448493211,92,72,0.013716542965297451
gamma,C3,0.06299878807158786,0.09458816539956186,-0.031589377327974,-0.5656239672934593,0.00016822844405313018,92,72,0.00033397088225592695
gamma,C4,0.06347805015259013,0.09473175012294512,-0.03125369997035499,-0.518415250143922,0.00015125463395601287,92,72,0.0003249173618314351
gamma,C5,0.08170857609772464,0.12685255595905243,-0.04514397986132779,-0.7737496716495711,5.5943540038139956e-06,92,72,5.4078755370201955e-05
gamma,C6,0.0816809528142278,0.12477871116729872,-0.04309775835307092,-0.7377290703089062,5.635550290115973e-05,92,72,0.0001556485318222507
gamma,CP1,0.03376243410344165,0.04253767529635805,-0.008775241192916401,-0.3799486667529739,0.00453939620994511,92,72,0.005265699603536328
gamma,CP2,0.03206847253662752,0.04402275638235523,-0.011954283845727706,-0.506108982415699,0.00020231896832898337,92,72,0.0003589571837725935
gamma,CP3,0.04973095291788256,0.06667394751531222,-0.016942994597429664,-0.3535829899337131,0.0017902709206701482,92,72,0.0024147840325318276
gamma,CP4,0.04202399356599675,0.06331272746927213,-0.021288733903275382,-0.556945124053286,2.749874726659083e-05,92,72,0.00010114980128263514
gamma,CP5,0.0640581013048952,0.10456438181238274,-0.040506280507487544,-0.6989423966606543,1.663019702960793e-05,92,72,9.645514277172598e-05
gamma,CP6,0.053663929955953586,0.0930720072678127,-0.039408077311859115,-0.7543244436990514,7.764240920974074e-06,92,72,6.433228191664233e-05
gamma,CPz,0.028744196419705458,0.035548701590098326,-0.006804505170392869,-0.3686243414686578,0.0028467683588342878,92,72,0.003439845100258098
gamma,Cz,0.033203497801660105,0.04133237587434951,-0.008128878072689402,-0.40252026061534474,0.0007938494152006358,92,72,0.0011230064897960214
gamma,F1,0.03960384646190194,0.052396349680605324,-0.012792503218703385,-0.4197690491356992,0.00021042317669427895,92,72,0.0003589571837725935
